title,address,longitude,latitude,coord_type,number,count,company,houseId
朝阳路——二外学院北门 五建小区三间房西里三间房南里4号院,三间房南里4号院,116.569059,39.912551,1,3000.0,1,北京世纪家福房地产经纪有限公司,2328758753x
公益西桥新宫地铁站附近精装公寓整租一居室拎包入住无,城南嘉园,116.369440,39.835849,1,2880.0,1,,2310100948x
公益西桥角门西新宫地铁附近精装公寓整租一居室拎包入住无,公益西桥,116.370796,39.836135,1,2800.0,1,,2310103672x
地铁旁;干净卫生;限一家人住;可押一付二;可长住,新华南路153号院,116.655627,39.895296,1,2980.0,1,,2304911793x
个人直租芍药居开间月付免费咖啡厅健身房乐乎公寓,芍药居北里,116.435619,39.986142,1,3100.0,1,,2310208967x
整租给一家人;要求干净卫生;紧邻地铁;中介勿扰,新华南路153号院,116.655627,39.895296,1,3050.0,1,,2304712401x
为你而选为你为家 荣丰2008北向开间 近7号线 交通便利,荣丰2008,116.336616,39.894695,1,3100.0,1,北京链家房地产经纪有限公司,2304894288x
7克拉 精装南向一居 家电齐全 地铁10号线 可注册,7克拉,116.385346,39.839382,1,3300.0,1,北京幸福家房地产经纪有限公司,2295169564x
为你而选为你为家 通州物资学院路金地格林格林精装南北通透一居,金地格林格林,116.653678,39.951342,1,3000.0,1,,2285798700x
玉泉路地铁旁航天医院对面 三街坊社区 便宜一居出租,玉泉路16号院,116.256489,39.913914,1,3000.0,1,北京永晟房地产经纪有限公司,2274709173x
积水潭 小西天 文慧园 新外大街 冰窖口胡同 全新家电 急租,新外大街31号院,116.369371,39.954753,1,3300.0,1,北京盛世纪房地产经纪有限公司,2167126782x
地铁7号线马连道世纪茶贸中心35平米精装一居3200/月,世纪茶贸中心,116.329574,39.882526,1,3200.0,1,,2243729549x
钥匙房源 随时看房 房主直租 家具家电齐全随时入住空乘首选,宝龙国际公寓,116.550461,40.095846,1,3300.0,1,北京金色时光房地产经纪有限公司,2234844031x
免 拎包入住 长城国际精装开间仅2950 家具齐包取暖,长城国际,116.632573,39.893652,1,2950.0,1,北京大诚置地房地产经纪有限公司,2227290534x
【 全源】紧邻地铁一号线，精装修好房，首次出租！,玉泉路甲65号院,116.252200,39.899384,1,3000.0,1,北京我爱我家房地产经纪有限公司,1952979366x
【 全源】 相约米兰西城广安门外 京铁 精装首次出租 送电脑,京铁和园,116.343032,39.880031,1,2800.0,1,北京我爱我家房地产经纪有限公司,1229813670x
南向;环境好;花园式商住房;距物资学院地铁近;朝北8080,朝北8080,116.648114,39.941498,1,3000.0,1,,2323407098x
【为你而选;为你为家】金汉 正规一居 价钱可议！随时看,金汉绿港一区,116.664154,40.134511,1,3300.0,1,北京链家房地产经纪有限公司,2312302855x
【 全源】西二环整租精装一居室，不合租不吵闹,荣丰2008,116.336616,39.894695,1,2900.0,1,北京我爱我家房地产经纪有限公司,2312059177x
【 全源】急租旧宫地铁站旁清逸园 宽敞一居室 0押金 精装全齐,清逸园,116.447246,39.803883,1,3100.0,1,北京我爱我家房地产经纪有限公司,2311586059x
【客户转租】十里河地铁朝阳急救附近周庄嘉园三期一居室出租,周庄嘉园三期,116.478872,39.859743,1,3300.0,1,北京鑫万家房地产经纪有限公司,2304164841x
让您心动的房子，是您意想不到惊喜,宋家庄公寓,116.431291,39.846814,1,3200.0,1,,2301987680x
地铁边上商住办公开间出租 停车方便 房东直租 可以注册,石榴园南里,116.418167,39.844128,1,3100.0,1,,2291346578x
视野开阔 正规一居 业主直租 居住首选 鸿博家园 紧邻地铁,鸿博家园,116.473153,39.829755,1,2800.0,1,北京居无忧房地产经纪有限公司,2289723358x
七号地铁附近好房子不等人哦 家具家电齐全照片真实,荣丰2008,116.336616,39.894695,1,3300.0,1,,2278969867x
小红门鸿博家园全齐一居室出租 临近地铁 随时看房 随时入住,鸿博家园,116.473153,39.829755,1,3000.0,1,北京天圣永邦投资担保有限公司,2276221878x
乐乎城市青年社区物业直租，紧邻地铁，免中介,乐乎城市青年社区,116.464464,39.865181,1,3100.0,1,,2265283975x
(个人)豪华装修一居室首次出租 家具家电齐全,公寓,116.321098,39.964081,1,2950.0,1,,2257485947x
双桥地铁站南行150米 双柳巷 ，南北一居，新装修，稀有房源,双柳巷,116.578683,39.907229,1,3300.0,1,北京爱嘉房地产经纪有限公司,2328308921x
个人直租 全新家具家电豪华装修一居室 交通便利,公寓,116.321098,39.964081,1,2950.0,1,,2244345141x
房源现在还有 我保证真实 但是如果你慢了就什么都没有了,金盏嘉园,116.561261,40.009846,1,2800.0,1,北京尚佳伟业房地产经纪有限公司,2209991409x
垡头建工双合家园精装一居出租！南北通透，家电全齐，临近地铁,双合小区,116.528091,39.856817,1,2900.0,1,北京七彩家园房地产经纪有限公司,2163511197x
【 全源】稀缺梵谷水郡 住宅50.0平米 抢租,梵谷水郡,116.506641,39.960701,1,3000.0,1,北京我爱我家房地产经纪有限公司,2330582648x
刘家窑 南三环东路精装一居室 可当小两居用 临近地铁,南三环东路12号楼,116.424552,39.857535,1,3000.0,1,北京中天置地房地产经纪有限公司,2311344727x
丰台 马家堡 精装7克拉 小户型 私密小空间 地铁10号线,7克拉,116.385346,39.839382,1,3050.0,1,北京幸福家房地产经纪有限公司,2330402636x
【 全源】北沙滩南沙滩两家合住精装大次卧黄金楼层紧邻15号地铁拎包入住,南沙滩小区,116.378103,40.000067,1,2800.0,1,北京我爱我家房地产经纪有限公司,2329313348x
【 全源】三元桥国展10号线 0押金月付 温馨南向大主卧 2家合租 男,曙光西里,116.44891,39.962524,1,3200.0,1,北京我爱我家房地产经纪有限公司,2327653724x
民水民电 精装修 家具顶好 有钥匙能看,珺悦国际,116.313378,39.686278,1,3000.0,1,北京信诚我家房地产经纪有限公司,2323826741x
